Bulan_Tahun;Harga_Beras
Jan-13;7797.63
Feb-13;7773.26
Mar-13;7576.27
Apr-13;7420.72
May-13;7545.40
Jun-13;7548.22
Jul-13;7823.68
Aug-13;7761.29
Sep-13;7746.17
Oct-13;7846.05
Nov-13;7919.98
Dec-13;7976.72
Jan-14;8208.79
Feb-14;8303.23
Mar-14;8192.87
Apr-14;7919.93
May-14;8009.43
Jun-14;8167.57
Jul-14;8228.30
Aug-14;8329.47
Sep-14;8310.51
Oct-14;8396.86
Nov-14;8555.14
Dec-14;9018.39
Jan-15;9723.46
Feb-15;9784.70
Mar-15;9571.84
Apr-15;9127.77
May-15;8709.81
Jun-15;8915.36
Jul-15;8945.11
Aug-15;9126.78
Sep-15;9444.06
Oct-15;9455.01
Nov-15;9564.26
Dec-15;9663.57
Jan-16;9723.46
Feb-16;9784.70
Mar-16;9571.84
Apr-16;9127.77
May-16;9181.93
Jun-16;9354.34
Jul-16;9374.37
Aug-16;9367.30
Sep-16;9110.58
Oct-16;9132.58
Nov-16;9257.36
Dec-16;9341.58
Jan-17;9431.37
Feb-17;9408.39
Mar-17;9388.53
Apr-17;9324.60
May-17;9436.19
Jun-17;9444.28
Jul-17;9383.68
Aug-17;9436.74
Sep-17;9470.59
Oct-17;9502.67
Nov-17;9538.75
Dec-17;9860.39
Jan-18;10349.91
Feb-18;10381.74
Mar-18;9892.56
Apr-18;9524.96
May-18;9523.88
Jun-18;9478.05
Jul-18;9519.93
Aug-18;9458.07
Sep-18;9572.03
Oct-18;9645.30
Nov-18;9770.97
Dec-18;9818.07
Jan-19;10111.08
Feb-19;10007.91
Mar-19;9814.53
Apr-19;9464.68
May-19;9462.05
Jun-19;9515.51
Jul-19;9519.35
Aug-19;9530.00
Sep-19;9594.39
Oct-19;9659.17
Nov-19;9742.16
Dec-19;9838.26
Jan-20;10032.66
Feb-20;10080.80
Mar-20;10082.43
Apr-20;10018.19
May-20;9826.63
Jun-20;9918.95
Jul-20;9931.71
Aug-20;9962.65
Sep-20;9871.12
Oct-20;9812.90
Nov-20;9714.50
Dec-20;9787.86
Jan-21;9780.19
Feb-21;9772.10
Mar-21;9606.97
Apr-21;9549.76
May-21;9627.08
Jun-21;9537.16
Jul-21;9401.61
Aug-21;9499.36
Sep-21;9455.56
Oct-21;9449.47
Nov-21;9539.29
Dec-21;9672.54
Jan-22;9824.23
Feb-22;9826.88
Mar-22;9786.63
Apr-22;9576.75
May-22;9512.63
Jun-22;9497.40
Jul-22;9628.57
Aug-22;9901.15
Sep-22;10252.31
Oct-22;10402.23
Nov-22;10511.71
Dec-22;10954.01
Jan-23;11345.10
Feb-23;11818.17
Mar-23;11681.09
Apr-23;11672.19
May-23;11623.61
Jun-23;11525.14
Jul-23;11537.44
Aug-23;11754.39
